ROUTER,GROUP,NOTE,KEY,English,Vietnamese
/home,,,SELECT_LEAGUE_BY_COUNTRY,Select league by country,Chọn giải đấu theo quốc gia
DO NOT CHANGE COLUMN D,,,SELECT_APP_LANGUAGE,Select application's language,Chọn ngôn ngữ cho ứng dụng
,,,LIVE_SCORE,Live score,Trực tiếp tỷ số bóng đá
,,reusable,QUICK_VIEW,Quick view,Xem nhanh
,,,USED_DEVICE,It looks like your device has used the app before! Click continue to start using,Có vẻ như thiết bị của bạn đã sử dụng ứng dụng trước đó! Bấm tiếp tục để bắt đầu sử dụng
,,resuable,CONTINUE,Continue,Tiếp tục
/tournaments,,,SELECT_FAVORITE_FOOTBALL_TEAM,Choose your favorite football team,Chọn đội bóng đá yêu thích
,,reusable,IN_THE_AREA,In the area,Trong khu vực
,,reusable,MOST_POPULAR,Most popular,Phổ biến nhất
,,reusable,OTHER_TOURNAMENTS,Other tournaments,Giải đấu khác
,,reusable,NEXT,Next,Tiếp tục
,,reusable,SKIP,Skip,Bỏ qua
,,,OTHER_FOOTBALL_TEAM,Other football team,Đội bóng khác
,,reusable,SEARCH,Search...,Tìm kiếm...
,,,OTHER_INFORMATION,Please looking for other infomations,Vui lòng tìm thông tin khác
,,,OTHER_FOOTBALL_PLAYER,Other football player,Cầu thủ khác
/setting/score,,,SCORE,Score,Tỷ số
,,,MINE,Mine,Của tôi
,,reusable,ALL,All,Tất cả
,,,TODAY,Today,Hôm nay
,,,TOMORROW,Tomorrow,Ngày mai
,,,NO_MATCH,There are no matches,Không có trận đấu nào
,,,MY_MATCH,My matches,Các trận đấu của tôi
,,,OTHER_MATCH,Other matches,Các trận đấu khác
,,,MATCH,Match,Trận đấu
,,,SPECIAL_DATA,Special data,Số liệu chuyên môn
,,,TEAM,Team,Đội hình
,,,DEVELOPMENTS,Development,Diễn biến
,,,RATINGS,Ratings,Xếp hạng
,,,EVENT,Event,Sự kiện
,,,TOP,Top,Hàng đầu
,,,END_90,End 90',Kết thúc 90'
,,,END,End,Kết quả trận đấu
,,,BREAK,Break,Nghỉ giữa hiệp
,,,UPDATING,Updating,Đang cập nhật
,,,CURRENT_TABLE,Current table position,Vị trí bảng hiện tại
,,,MATCH_INFOMATION,Match infomation,Thông tin trận đấu
,,,ARBITRATION,Arbitration,Trọng tài
,,,STADIUM,Stadium,Sân vận động
,,,NUMBER_PARTICIPANTS,Spectator,Khán giả
,,,OVERALL,Overall,Tổng thể
,,,HOME_TEAM,Home team,Đội nhà
,,,GUEST_TEAM,Guest team,Đội khách
,,,BALL_CONTROL,Ball control,Kiếm soát bóng
,,,GOAL_ATTEMPT,Goal Attempts,Tổng cú sút trúng khung thành
,,,COR_PEN,Corner penalty,Phạt góc
,,,SHOT_TARGET,Shot on target,Sút trúng mục tiêu
,,,SHOT_OUT,Shot out,Sút ra ngoài
,,,OFFSIDES,Offsides,Đá cánh
,,,NUM_GOALKEEPER,Goalkeeper Saves,Số lần thủ môn cản phá được
,,,FOUL,Foul,Phạm lỗi
,,,RED_CARD,Red card,Thẻ đỏ
